chatroom_sub_cat_id,chatroom_sub_category name,chatroom_parent_category_id,chatroom_name,chatroom_meta_description
164,Indian,9,A R Rahman Fans,
266,YouTube,14,All India Bakchod,
296,Mobile Phones,15,Android,
23,Film Director,2,Anurag Kashyap,
192,Computers & Laptops,11,Apple,
26,Journalist,2,Arnab Goswami,
274,Art,15,Art Lovers,
7,Water Transport,1,Boat Lovers,
6,Trucks & Heavy Vehicles,1,Bus journeys,
172,Comics,10,Chacha Chaudhary,
219,Board Games,12,Chess Lovers,
307,Software Engineering,15,Coding Help,
278,Education,15,College Talk,
194,Discounts & Offers,11,Coupon & Voucher Sharing,
196,Footwear,11,Crocs,
288,Ideas,15,Daily Hacks,
302,Photography,15,DSLR club,
35,Public Figure,2,E Sreedharan,
225,Football,12,FIFA World cup,
76,Fatherhood,4,First Time Dads,
79,Motherhood,4,First Time Moms,
181,Online Shopping,11,Flipkart,
1,Aviation,1,Frequent Flyers,
198,Gifts,11,Gift Ideas,
300,Places,15,Goa,
240,Beaches,13,Goan Beaches,
289,India,15,Good News Only,
60,Non-Governmental Organization (NGO) | Non-Profit,3,Greenpeace,
93,Fitness,6,Gym Lovers,
16,Character,2,Harry Potter,
250,Mountains,13,Himalayas,
287,History,15,Historic Places of India,
213,Tools & Machinery,11,Home Tools,
239,Backpacking,13,I'm a Backpacker,
74,Dating,4,India Dating,
84,Cuisine,5,Indian Cuisines,
95,Nutrition,6,Indian Diet,
5,Trains,1,Indian Railway,
303,Psychology,15,Interesting Case Studies,
290,Interesting products,15,Interesting Kickstarter Projects,
228,Matches & Tournaments,12,IPL,
28,Movie Character,2,Iron Man,
75,Family,4,Joint Families,
282,Fun,15,Jokes,
19,Comedian,2,Kapil Sharma,
238,Air travel,13,Latest Flight Offers India,
253,Road Trips,13,Leh Ladakh Enthusiasts,
11,Artist,2,M F Husain,
41,Automobile,3,Mahindra,
168,Regional,9,Malayalam Songs,
218,Athletics,12,Marathoners,
2,Cars,1,Maruti Suzuki,
20,Dancer,2,Meher Malik,
169,Rock music,9,Metallica,
9,Others,1,Modified & Custom Cars,
10,Actor,2,Mohan Lal,
270,TV Channel,14,MTV,
259,Unexplored,13,Must See Places,
174,Literature,10,My First Poem,
33,Politician,2,Narendra Modi,
78,Marriage,4,Newly Wed,
188,Brands,11,Nike,
284,Gigs,15,One Time Jobs,
311,World,15,One World,
229,Online Games,12,Online Rummy,
13,Author,2,Paulo Coelho,
179,Publisher,10,Penguin India,
220,Card Games,12,Poker,
227,Motor Sports,12,Raid De Himalaya,
21,Entrepreneur,2,Ratan Tata,
83,Cooking,5,Recipe Sharing,
257,Tourism,13,Recommended Places,
37,Teacher,2,Richard Feynman,
25,Government Official,2,Rishiraj Singh,
4,Motorcycles,1,Royal Enfield,
301,Philosophy,15,Rumi,
209,Shoes,11,Running Shoes,
17,Chef,2,Sanjeev Kapoor,
44,Cause,3,Save The Tiger,
297,Money,15,Savings Advice,
241,Car rentals,13,Self Drive Cars India,
308,Startups,15,Startup Advice,
36,Scientist,2,Stephen Hawking,
291,Investing,15,Stock Market Tips,
86,Food,5,Street Fod Loves,
222,Cricket,12,Team india,
98,Agriculture,7,Terrace Farming,
3,Electric,1,Tesla Motors,
171,Books,10,The Alchemist,
85,Drinks,5,The Alchoholic's Club,
94,Meditation,6,The Yogis,
80,Parenting,4,Toddlers,
87,Restaurants,5,Top Food places,
258,Travel Jobs,13,Travel Job Portal,
243,Climbing,13,Trekking,
12,Athlete,2,Usain Bolt,
187,Books,11,Used Books Trading,
276,Design,15,UX/UI,
8,Vintage,1,Vintage Cars,
81,Weddings,4,Wedding Planning,